[2018-08-07 16:04:19] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 {main} [] []
[2018-08-07 16:04:20] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 /Users/temp/repos/grav/system/router.php(24): require('/Users/temp/rep...') #8 {main} [] []
[2018-08-07 16:06:48] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 {main} [] []
[2018-08-07 16:06:49] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 /Users/temp/repos/grav/system/router.php(24): require('/Users/temp/rep...') #8 {main} [] []
[2018-08-07 16:08:48] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 {main} [] []
[2018-08-07 16:08:49] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 /Users/temp/repos/grav/system/router.php(24): require('/Users/temp/rep...') #8 {main} [] []
[2018-08-07 16:09:06] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 /Users/temp/repos/grav/system/router.php(24): require('/Users/temp/rep...') #8 {main} [] []
[2018-08-07 16:36:54] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 /Users/temp/repos/grav/system/router.php(24): require('/Users/temp/rep...') #8 {main} [] []
[2018-08-07 16:36:56] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 /Users/temp/repos/grav/system/router.php(24): require('/Users/temp/rep...') #8 {main} [] []
[2018-08-08 15:48:04] grav.CRITICAL: Allowed memory size of 134217728 bytes exhausted (tried to allocate 9301601 bytes) - Trace: #0 /Users/temp/repos/grav/vendor/filp/whoops/src/Whoops/Run.php(383): Whoops\Run->handleError(1, 'Allowed memory ...', '/Users/temp/rep...', 85) #1 /Users/temp/repos/grav/system/src/Grav/Common/Errors/SystemFacade.php(36): Whoops\Run->handleShutdown() #2 [internal function]: Grav\Common\Errors\SystemFacade->handleShutdown() #3 {main} [] []
[2018-08-08 15:48:05] grav.CRITICAL: Page Not Found - Trace: #0 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(132): Grav\Common\Processors\PagesProcessor->process() #1 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(374): Grav\Common\Grav->Grav\Common\{closure}() #2 [internal function]: Grav\Common\Grav::Grav\Common\{closure}('pages', 'Pages', Object(Closure)) #3 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(350): call_user_func_array(Object(Closure), Array) #4 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->__call('measureTime', Array) #5 /Users/temp/repos/grav/system/src/Grav/Common/Grav.php(133): Grav\Common\Grav->measureTime('pages', 'Pages', Object(Closure)) #6 /Users/temp/repos/grav/index.php(52): Grav\Common\Grav->process() #7 /Users/temp/repos/grav/system/router.php(24): require('/Users/temp/rep...') #8 {main} [] []
